t,x,y,z,vx,vy,vz
39.8000,82.0779,15.2419,12.1101,1.2966,0.7787,-1.0000
39.9000,82.2076,15.3197,12.0101,1.2966,0.7787,-1.0000
40.0000,82.3373,15.3976,11.9101,1.2966,0.7787,-1.0000
40.1000,82.4669,15.4755,11.8101,1.2964,0.7787,-1.0000
40.2000,82.5966,15.5534,11.7101,1.2964,0.7787,-1.0000
40.3000,82.7262,15.6312,11.6101,1.2966,0.7787,-1.0000
40.4000,82.8559,15.7091,11.5101,1.2966,0.7787,-1.0000
40.5000,82.9855,15.7870,11.4101,1.2964,0.7787,-1.0000
40.6000,83.1152,15.8649,11.3101,1.2964,0.7787,-1.0000
40.7000,83.2448,15.9427,11.2101,1.2966,0.7787,-1.0000
40.8000,83.3745,16.0206,11.1101,1.2966,0.7787,-1.0000
40.9000,83.5042,16.0985,11.0101,1.2966,0.7787,-1.0000
41.0000,83.6338,16.1763,10.9101,1.2964,0.7787,-1.0000
41.1000,83.7635,16.2542,10.8101,1.2965,0.7788,-1.0000
41.2000,83.8931,16.3321,10.7101,1.2966,0.7787,-1.0000
41.3000,84.0228,16.4100,10.6101,1.2966,0.7787,-1.0000
41.4000,84.1524,16.4878,10.5101,1.2966,0.7787,-1.0000
41.5000,84.2821,16.5657,10.4101,1.2966,0.7787,-1.0000
41.6000,84.4117,16.6436,10.3101,1.2966,0.7787,-1.0000
41.7000,84.5414,16.7215,10.2101,1.2966,0.7787,-1.0000
41.8000,84.6711,16.7993,10.1101,1.2966,0.7787,-1.0000
41.9000,84.8007,16.8772,10.0101,1.2966,0.7787,-1.0000
42.0000,84.9304,16.9551,9.9101,1.2964,0.7787,-1.0000
42.1000,85.0600,17.0330,9.8101,1.2965,0.7787,-1.0000
42.2000,85.1897,17.1108,9.7101,1.2966,0.7787,-1.0000
42.3000,85.3193,17.1887,9.6101,1.2966,0.7787,-1.0000
42.4000,85.4490,17.2666,9.5101,1.2966,0.7787,-1.0000
42.5000,85.5786,17.3445,9.4101,1.2966,0.7787,-1.0000
42.6000,85.7083,17.4223,9.3101,1.2966,0.7787,-1.0000
42.7000,85.8380,17.5002,9.2101,1.2966,0.7787,-1.0000
42.8000,85.9676,17.5781,9.1101,1.2964,0.7787,-1.0000
42.9000,86.0973,17.6559,9.0101,1.2964,0.7787,-1.0000
43.0000,86.2269,17.7338,8.9101,1.2966,0.7787,-1.0000
43.1000,86.3566,17.8117,8.8101,1.2966,0.7787,-1.0000
43.2000,86.4862,17.8896,8.7101,1.2966,0.7787,-1.0000
43.3000,86.6159,17.9674,8.6101,1.2964,0.7787,-1.0000
43.4000,86.7455,18.0453,8.5101,1.2966,0.7788,-1.0000
43.5000,86.8752,18.1232,8.4101,1.2966,0.7788,-1.0000
43.6000,87.0049,18.2011,8.3101,1.2966,0.7787,-1.0000
43.7000,87.1345,18.2789,8.2101,1.2966,0.7787,-1.0000
43.8000,87.2642,18.3568,8.1101,1.2966,0.7787,-1.0000
43.9000,87.3938,18.4347,8.0101,1.2966,0.7787,-1.0000
44.0000,87.5235,18.5126,7.9101,1.2966,0.7787,-1.0000
44.1000,87.6531,18.5904,7.8101,1.2964,0.7787,-1.0000
44.2000,87.7827,18.6683,7.7101,1.2954,0.7781,-0.9992
44.3000,87.9105,18.7450,7.6116,1.2597,0.7566,-0.9716
44.4000,88.0347,18.8196,7.5158,1.2240,0.7351,-0.9440
44.5000,88.1553,18.8920,7.4228,1.1881,0.7137,-0.9165
44.6000,88.2723,18.9623,7.3325,1.1524,0.6922,-0.8889
44.7000,88.3858,19.0305,7.2450,1.1166,0.6707,-0.8613
44.8000,88.4957,19.0965,7.1603,1.0809,0.6492,-0.8337
44.9000,88.6020,19.1603,7.0783,1.0451,0.6278,-0.8062
45.0000,88.7047,19.2220,6.9991,1.0094,0.6063,-0.7785
45.1000,88.8038,19.2816,6.9226,0.9737,0.5848,-0.7510
45.2000,88.8994,19.3390,6.8489,0.9379,0.5633,-0.7234
45.3000,88.9914,19.3942,6.7779,0.9021,0.5419,-0.6958
45.4000,89.0798,19.4473,6.7097,0.8665,0.5203,-0.6682
45.5000,89.1647,19.4983,6.6442,0.8307,0.4989,-0.6407
45.6000,89.2460,19.5471,6.5816,0.7949,0.4774,-0.6131
45.7000,89.3237,19.5938,6.5216,0.7592,0.4559,-0.5855
45.8000,89.3978,19.6383,6.4645,0.7234,0.4345,-0.5579
45.9000,89.4684,19.6807,6.4100,0.6876,0.4130,-0.5304
46.0000,89.5353,19.7209,6.3584,0.6519,0.3915,-0.5028
46.1000,89.5987,19.7590,6.3095,0.6161,0.3701,-0.4752
46.2000,89.6586,19.7949,6.2633,0.5803,0.3486,-0.4476
46.3000,89.7148,19.8287,6.2200,0.5446,0.3271,-0.4200
46.4000,89.7675,19.8603,6.1793,0.5089,0.3056,-0.3925
46.5000,89.8166,19.8898,6.1415,0.4731,0.2842,-0.3649
46.6000,89.8621,19.9172,6.1064,0.4374,0.2627,-0.3373
46.7000,89.9041,19.9424,6.0740,0.4016,0.2412,-0.3097
46.8000,89.9424,19.9654,6.0444,0.3659,0.2197,-0.2822
46.9000,89.9772,19.9863,6.0176,0.3301,0.1983,-0.2546
47.0000,90.0000,20.0000,6.0000,0.0000,0.0000,-0.0000
